Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Fallecidos,Tasa de mortalidad,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Metropolitana,RM,La Pintana,189335.0,8135,4296.6,212,112.0,675,356.5,672,354.9,4296.617107
Metropolitana,RM,La Reina,100252.0,1810,1805.5,58,57.9,180,179.5,180,179.5,1805.450265
Metropolitana,RM,Lampa,126898.0,2827,2227.8,39,30.7,242,190.7,241,189.9,2227.773487
Metropolitana,RM,Las Condes,330759.0,4866,1471.2,209,63.2,375,113.4,368,111.3,1471.1617820000001
Metropolitana,RM,Lo Barnechea,124076.0,2664,2147.1,47,37.9,121,97.5,121,97.5,2147.07115
Metropolitana,RM,Lo Espejo,103865.0,3496,3365.9,125,120.3,366,352.4,362,348.5,3365.9076689999997
Metropolitana,RM,Lo Prado,104403.0,3872,3708.7,105,100.6,320,306.5,316,302.7,3708.705689
Metropolitana,RM,Macul,134635.0,4137,3072.8,111,82.4,363,269.6,361,268.1,3072.7522559999998
Metropolitana,RM,Maipú,578605.0,11666,2016.2,246,42.5,1205,208.3,1197,206.9,2016.228688
Metropolitana,RM,María Pinto,14926.0,242,1621.3,3,20.1,42,281.4,42,281.4,1621.331904
Metropolitana,RM,Melipilla,141612.0,2808,1982.9,61,43.1,398,281.0,396,279.6,1982.882807
Metropolitana,RM,Ñuñoa,250192.0,4676,1869.0,174,69.5,437,174.7,433,173.1,1868.964635
Metropolitana,RM,Padre Hurtado,74188.0,1639,2209.3,39,52.6,211,284.4,209,281.7,2209.2521699999998
Metropolitana,RM,Paine,82766.0,1335,1613.0,23,27.8,230,277.9,228,275.5,1612.981176
Metropolitana,RM,Pedro Aguirre Cerda,107803.0,3528,3272.6,146,135.4,314,291.3,309,286.6,3272.636198
Metropolitana,RM,Peñaflor,101058.0,2178,2155.2,71,70.3,311,307.7,307,303.8,2155.198005
Metropolitana,RM,Peñalolén,266798.0,9952,3730.2,202,75.7,812,304.4,810,303.6,3730.1628950000004
Metropolitana,RM,Pirque,30433.0,879,2888.3,10,32.9,91,299.0,91,299.0,2888.31203
Metropolitana,RM,Providencia,157749.0,2591,1642.5,96,60.9,219,138.8,218,138.2,1642.4826779999999
Metropolitana,RM,Pudahuel,253139.0,8128,3210.9,156,61.6,723,285.6,717,283.2,3210.8841390000002
Metropolitana,RM,Puente Alto,645909.0,18932,2931.1,368,57.0,1874,290.1,1869,289.4,2931.063044
Metropolitana,RM,Quilicura,254694.0,7684,3017.0,99,38.9,572,224.6,571,224.2,3016.9536780000003
Metropolitana,RM,Quinta Normal,136368.0,4801,3520.6,128,93.9,393,288.2,392,287.5,3520.620673
Metropolitana,RM,Recoleta,190075.0,7446,3917.4,239,125.7,480,252.5,476,250.4,3917.401026
Metropolitana,RM,Renca,160847.0,6408,3983.9,160,99.5,897,557.7,894,555.8,3983.910176
Metropolitana,RM,San Bernardo,334836.0,8974,2680.1,225,67.2,1086,324.3,1076,321.4,2680.1180280000003
Metropolitana,RM,San Joaquín,103485.0,4074,3936.8,104,100.5,364,351.7,363,350.8,3936.802435
Metropolitana,RM,San José de Maipo,18644.0,508,2724.7,15,80.5,58,311.1,58,311.1,2724.737181
Metropolitana,RM,San Miguel,133059.0,4353,3271.5,93,69.9,393,295.4,387,290.8,3271.481072
Metropolitana,RM,San Pedro,11953.0,169,1413.9,3,25.1,42,351.4,42,351.4,1413.870995
Metropolitana,RM,San Ramón,86510.0,3825,4421.5,112,129.5,295,341.0,291,336.4,4421.454167
Metropolitana,RM,Santiago,503147.0,12728,2529.7,198,39.4,858,170.5,855,169.9,2529.678205
Metropolitana,RM,Talagante,81838.0,1231,1504.2,39,47.7,225,274.9,219,267.6,1504.191207
Metropolitana,RM,Tiltil,21477.0,453,2109.2,9,41.9,59,274.7,59,274.7,2109.2331329999997
Metropolitana,RM,Vitacura,96774.0,1275,1317.5,40,41.3,103,106.4,102,105.4,1317.502635
Desconocido,,-,,19089,0.0,0,0.0,2910,0.0,2910,0.0,
O’Higgins,6,Chépica,15925.0,66,414.4,1,6.3,15,94.2,15,94.2,414.4427002
O’Higgins,6,Chimbarongo,37696.0,99,262.6,3,8.0,27,71.6,27,71.6,262.6273345
O’Higgins,6,Codegua,14096.0,97,688.1,2,14.2,37,262.5,37,262.5,688.138479
